시간|이름|ID|타입|이동체크기(m)|x좌표|y좌표|이동속도(knot)|방향각|이동면적(m2)|전체면적(m2)|MPI
2021-05-09 23:47:39|아라곤1호|111|정사각형|8.0|0.0|0.0|10.0|45.0|0.000|1000|0.000
2021-05-09 23:47:40|아라곤1호|111|정사각형|8.0|3.9306549234051897|4.070312326236223|11.0|46.0|45.267199999999995|1000|0.04526719999999999355377866550043108873069286346435546875
2021-05-09 23:47:41|아라곤1호|111|정사각형|8.0|8.14049440039898|8.584812455591038|12.0|47.0|94.64959999999999|1000|0.09464959999999998652153720968271954916417598724365234375
2021-05-09 23:47:42|아라곤1호|111|정사각형|8.0|12.615104591241938|13.554370532523468|13.0|48.0|148.1472|1000|0.1481472000000000066588512481757788918912410736083984375
2021-05-09 23:47:43|아라곤1호|111|정사각형|8.0|17.339779294419976|18.989487045455782|14.0|49.0|205.76|1000|0.205759999999999998454569549721782095730304718017578125
2021-05-09 23:47:44|아라곤1호|111|정사각형|8.0|22.299528490761315|24.900285968561818|15.0|50.0|267.488|1000|0.267488000000000003542055537764099426567554473876953125
2021-05-09 23:47:45|아라곤1호|111|정사각형|8.0|27.479087037257898|31.29650808973727|16.0|51.0|333.33119999999997|1000|0.333331199999999994165733596673817373812198638916015625
2021-05-09 23:47:46|아라곤1호|111|정사각형|8.0|32.86292350668572|38.18750452787733|17.0|52.0|403.28959999999995|1000|0.403289599999999970325603726450935937464237213134765625
2021-05-09 23:47:47|아라곤1호|111|정사각형|8.0|38.43524916905516|45.582230442507225|18.0|53.0|477.36319999999995|1000|0.477363199999999932021665927095455117523670196533203125
2021-05-09 23:47:48|아라곤1호|111|정사각형|8.0|44.18002711086088|53.48923893873021|19.0|54.0|555.5519999999999|1000|0.55555199999999993476507142986520193517208099365234375
2021-05-09 23:47:49|아라곤1호|111|정사각형|8.0|50.080981488040436|61.916675170375356|20.0|55.0|637.8559999999999|1000|0.63785599999999986753351777224452234804630279541015625
2021-05-09 23:47:50|아라곤1호|111|정사각형|8.0|56.12160690849283|70.87227064414394|21.0|56.0|724.2751999999998|1000|0.72427519999999978583815618549124337732791900634765625
2021-05-09 23:47:51|아라곤1호|111|정사각형|8.0|62.285177939950884|80.36333772746872|22.0|57.0|814.8095999999998|1000|0.814809599999999800701289132121019065380096435546875
2021-05-09 23:47:52|아라곤1호|111|정사각형|8.0|68.55475873894677|90.39676436271462|23.0|58.0|909.4591999999998|1000|0.90945919999999980110061414961819536983966827392578125
2021-05-09 23:47:53|아라곤1호|111|정사각형|8.0|74.91321279655634|100.97900899026261|24.0|59.0|1008.2239999999997|1000|1.008223999999999787036131237982772290706634521484375
2021-05-09 23:47:54|아라곤1호|111|정사각형|8.0|81.34321279655634|112.11609568293049|25.0|60.0|1111.1039999999998|1000|1.1111039999999998695301428597304038703441619873046875
2021-05-09 23:47:55|아라곤1호|111|정사각형|8.0|87.82725058157895|123.81360949409563|26.0|61.0|1218.0991999999999|1000|1.2180991999999999375603465523454360663890838623046875
2021-05-09 23:47:56|아라곤1호|111|정사각형|8.0|94.34764722279964|136.07669202179468|27.0|62.0|1329.2096|1000|1.329209599999999991126742315827868878841400146484375
2021-05-09 23:47:57|아라곤1호|111|정사각형|8.0|100.88656318864828|148.91003719098458|28.0|63.0|1444.4352|1000|1.4444351999999998081847252251463942229747772216796875
2021-05-09 23:47:58|아라곤1호|111|정사각형|8.0|107.42600860798902|162.31788725605702|29.0|64.0|1563.7759999999998|1000|1.56377599999999983282350513036362826824188232421875
2021-05-09 23:47:59|아라곤1호|111|정사각형|8.0|113.9478536231715|176.3040290256066|30.0|65.0|1687.232|1000|1.6872320000000000650430820314795710146427154541015625
2021-05-09 23:48:00|아라곤1호|111|정사각형|8.0|120.43383882831543|190.87179031135858|31.0|66.0|1814.8031999999998|1000|1.8148031999999998387096411534002982079982757568359375
2021-05-09 23:48:01|아라곤1호|111|정사각형|8.0|126.86558578815166|206.0240366030685|32.0|67.0|1946.4895999999999|1000|1.9464895999999998199569972712197341024875640869140625
2021-05-09 23:48:02|아라곤1호|111|정사각형|8.0|133.22460763270544|221.76316797111065|33.0|68.0|2082.2912|1000|2.0822912000000002308297553099691867828369140625
2021-05-09 23:48:03|아라곤1호|111|정사각형|8.0|139.49231972307294|238.0911161983761|34.0|69.0|2222.208|1000|2.2222080000000001831494955695234239101409912109375
2021-05-09 23:48:04|아라곤1호|111|정사각형|8.0|145.65005038350827|255.0093421430056|35.0|70.0|2366.24|1000|2.366239999999999898960822974913753569126129150390625
2021-05-09 23:48:05|아라곤1호|111|정사각형|8.0|151.67905169500767|272.518833333384|36.0|71.0|2514.3872|1000|2.514387200000000266442157226265408098697662353515625
2021-05-09 23:48:06|아라곤1호|111|정사각형|8.0|157.56051034554716|290.62010179672643|37.0|72.0|2666.6496|1000|2.66664960000000039741507862345315515995025634765625
2021-05-09 23:48:07|아라곤1호|111|정사각형|8.0|163.27555853210345|309.3131821224871|38.0|73.0|2823.0272000000004|1000|2.8230272000000002918795871664769947528839111328125
2021-05-09 23:48:08|아라곤1호|111|정사각형|8.0|168.80528490956175|328.5976297617233|39.0|74.0|2983.5200000000004|1000|2.9835200000000003939248927053995430469512939453125
2021-05-09 23:48:09|아라곤1호|111|정사각형|8.0|174.1307455815912|348.4725195634472|40.0|75.0|3148.1280000000006|1000|3.14812800000000070355099524022080004215240478515625
2021-05-09 23:48:10|아라곤1호|111|정사각형|8.0|179.23297512854646|368.93644454889846|41.0|76.0|3316.8512000000005|1000|3.3168512000000003325794750708155333995819091796875
