시간|이름|ID|타입|이동체크기(m)|x좌표|y좌표|이동속도(knot)|방향각|이동면적(m2)|전체면적(m2)|MPI
2021-05-09 23:48:44|아라곤1호|111|정사각형|8.0|4.0|3.0|11.0|45.0|0.000|1000000|0.000
2021-05-09 23:48:45|아라곤1호|111|정사각형|8.0|8.645319454933407|7.8103691128246275|13.0|46.0|53.4976|1000000|0.0000534976000000000008927254768753556390947778709232807159423828125
2021-05-09 23:48:46|아라곤1호|111|정사각형|8.0|13.907618801175644|13.453494274518146|15.0|47.0|115.22559999999999|1000000|0.0001152255999999999831577557340978046340751461684703826904296875
2021-05-09 23:48:47|아라곤1호|111|정사각형|8.0|19.759032127662586|19.952147144352864|17.0|48.0|185.18399999999997|1000000|0.0001851839999999999671238815057705551225808449089527130126953125
2021-05-09 23:48:48|아라곤1호|111|정사각형|8.0|26.171090653404207|27.328376697618147|19.0|49.0|263.3728|1000000|0.0002633728000000000002249478381344260924379341304302215576171875
2021-05-09 23:48:49|아라곤1호|111|정사각형|8.0|33.11473952828208|35.603495189966594|21.0|50.0|349.792|1000000|0.0003497919999999999740407374826389741429011337459087371826171875
2021-05-09 23:48:50|아라곤1호|111|정사각형|8.0|40.560354938870915|44.7980644891563|23.0|51.0|444.44159999999994|1000000|0.000444441599999999942781359063559420974343083798885345458984375
2021-05-09 23:48:51|아라곤1호|111|정사각형|8.0|48.47776151155888|54.93188278053875|25.0|52.0|547.3216|1000000|0.000547321600000000014867029829446209987509064376354217529296875
2021-05-09 23:48:52|아라곤1호|111|정사각형|8.0|56.83625000511305|66.0239716524836|27.0|53.0|658.432|1000000|0.0006584320000000000276674239074736760812811553478240966796875
2021-05-09 23:48:53|아라곤1호|111|정사각형|8.0|65.60459528471125|78.09256356777131|29.0|54.0|777.7728|1000000|0.00077777279999999998118254129764181925565935671329498291015625
2021-05-09 23:48:54|아라곤1호|111|정사각형|8.0|74.75107456933958|91.15508972682129|31.0|55.0|905.344|1000000|0.000905344000000000092252816497051526312134228646755218505859375
2021-05-09 23:48:55|아라곤1호|111|정사각형|8.0|84.2434859443362|105.22816832845763|33.0|56.0|1041.1456|1000000|0.0010411456000000000356175977600514670484699308872222900390625
2021-05-09 23:48:56|아라곤1호|111|정사각형|8.0|94.04916713074675|120.32759323374704|35.0|57.0|1185.1776|1000000|0.00118517759999999991969710233519208486541174352169036865234375
2021-05-09 23:48:57|아라곤1호|111|정사각형|8.0|104.13501450304449|136.46832303827307|37.0|58.0|1337.44|1000000|0.0013374400000000000697519819681247099651955068111419677734375
2021-05-09 23:48:58|아라곤1호|111|정사각형|8.0|114.46750234666003|153.66447055803857|39.0|59.0|1497.9328|1000000|0.00149793280000000005210136766464756874484010040760040283203125
2021-05-09 23:48:59|아라곤1호|111|정사각형|8.0|125.01270234666003|171.9292927340139|41.0|60.0|1666.6560000000002|1000000|0.00166665600000000008358569392186154800583608448505401611328125
2021-05-09 23:49:00|아라곤1호|111|정사각형|8.0|135.7363032988128|191.2751809601716|43.0|61.0|1843.6096|1000000|0.00184360959999999994736452624266576094669289886951446533203125
2021-05-09 23:49:01|아라곤1호|111|정사각형|8.0|146.6036310341806|211.71365183967004|45.0|62.0|2028.7936|1000000|0.0020287935999999998602782991241610943689011037349700927734375
2021-05-09 23:49:02|아라곤1호|111|정사각형|8.0|157.57966854828368|233.25533837366737|47.0|63.0|2222.208|1000000|0.0022222080000000002560078815605493218754418194293975830078125
2021-05-09 23:49:03|아라곤1호|111|정사각형|8.0|168.62907632579044|255.90998158706566|49.0|64.0|2423.8528|1000000|0.002423852800000000050351101066326009458862245082855224609375
2021-05-09 23:49:04|아라곤1호|111|정사각형|8.0|179.49881801776124|279.2202178696483|50.0|65.0|2629.6128000000003|1000000|0.00262961280000000019452244259809958748519420623779296875
2021-05-09 23:49:05|아라곤1호|111|정사각형|8.0|189.96008447767082|302.716607040216|50.0|66.0|2835.3728|1000000|0.0028353727999999999050129151356713919085450470447540283203125
2021-05-09 23:49:06|아라곤1호|111|정사각형|8.0|200.00968910241494|326.39199187101275|50.0|67.0|3041.1328|1000000|0.0030411328000000000491842566674449699348770081996917724609375
2021-05-09 23:49:07|아라곤1호|111|정사각형|8.0|209.64457068507218|350.23916061047055|50.0|68.0|3246.8928|1000000|0.0032468928000000001933555981992185479612089693546295166015625
2021-05-09 23:49:08|아라곤1호|111|정사각형|8.0|218.8617943473773|374.25084917997856|50.0|69.0|3452.6528|1000000|0.003452652799999999903846070736790352384559810161590576171875
2021-05-09 23:49:09|아라곤1호|111|정사각형|8.0|227.6585524337135|398.41974338659213|50.0|70.0|3658.4128|1000000|0.0036584128000000000480174122685639304108917713165283203125
2021-05-09 23:49:10|아라곤1호|111|정사각형|8.0|236.0321653663516|422.73848115100657|50.0|71.0|3864.1728000000003|1000000|0.003864172800000000192188753800337508437223732471466064453125
2021-05-09 23:49:11|아라곤1호|111|정사각형|8.0|243.98008246167524|447.19965475011793|50.0|72.0|4069.9328000000005|1000000|0.00406993280000000033636009533211108646355569362640380859375
2021-05-09 23:49:12|아라곤1호|111|정사각형|8.0|251.49988270714402|471.7958130734872|50.0|73.0|4275.692800000001|1000000|0.004275692800000000480531436863884664489887654781341552734375
2021-05-09 23:49:13|아라곤1호|111|정사각형|8.0|258.5892754987572|496.51946389302077|50.0|74.0|4481.452800000001|1000000|0.004481452800000000624702778395658242516219615936279296875
2021-05-09 23:49:14|아라곤1호|111|정사각형|8.0|265.24610133879406|521.3630761451756|50.0|75.0|4687.2128|1000000|0.004687212799999999901512381939028273336589336395263671875
2021-05-09 23:49:15|아라곤1호|111|정사각형|8.0|271.46833249361754|546.3190822249942|50.0|76.0|4892.9728000000005|1000000|0.004892972800000000045683723470801851362921297550201416015625
